sqft,bedrooms,bathrooms,clean_type,clutter,fridge,oven,labor_hours,clock_hours,rate_check_hours,price,solo_label,solo_hours,solo_price
800,3,1,deep,low,no,no,4.03,2.01,2.15,180,SOLO DEEP,4.03,180
800,3,1,deep,low,no,yes,4.66,2.33,4.25,210,SOLO DEEP,4.66,210
800,3,1,deep,low,yes,no,3.72,1.86,3.85,165,SOLO DEEP,3.72,165
800,3,1,deep,low,yes,yes,4.35,2.17,5.95,195,SOLO DEEP,4.35,195
800,3,1,deep,medium,no,no,4.33,2.16,2.78,195,SOLO DEEP,4.33,195
800,3,1,deep,medium,no,yes,4.95,2.48,4.88,225,SOLO DEEP,4.95,225
800,3,1,deep,medium,yes,no,4.01,2.01,4.48,180,SOLO DEEP,4.01,180
800,3,1,deep,medium,yes,yes,4.64,2.32,6.58,210,SOLO DEEP,4.64,210
800,3,1,deep,high,no,no,5.05,2.52,6.89,225,SOLO DEEP,5.05,225
800,3,1,deep,high,no,yes,5.68,2.84,8.99,255,SOLO DEEP,5.68,255
800,3,1,deep,high,yes,no,4.74,2.37,8.59,215,SOLO DEEP,4.74,215
800,3,1,deep,high,yes,yes,5.37,2.68,10.69,240,SOLO DEEP,5.37,240
800,3,2,standard,low,no,no,2.39,1.19,1.07,105,SOLO STANDARD,2.39,110
800,3,2,standard,low,no,yes,3.02,1.51,3.17,135,SOLO STANDARD,3.02,135
800,3,2,standard,low,yes,no,2.08,1.04,2.77,95,SOLO STANDARD,2.08,95
800,3,2,standard,low,yes,yes,2.71,1.35,4.87,120,SOLO STANDARD,2.71,120
800,3,2,standard,medium,no,no,2.68,1.34,1.38,120,SOLO STANDARD,2.68,120
800,3,2,standard,medium,no,yes,3.31,1.66,3.48,150,SOLO STANDARD,3.31,150
800,3,2,standard,medium,yes,no,2.37,1.19,3.08,105,SOLO STANDARD,2.37,105
800,3,2,standard,medium,yes,yes,3,1.5,5.18,135,SOLO STANDARD,3,135
800,3,2,standard,high,no,no,3.41,1.7,3.43,155,SOLO STANDARD,3.41,155
800,3,2,standard,high,no,yes,4.03,2.02,5.53,180,SOLO STANDARD,4.03,180
800,3,2,standard,high,yes,no,3.09,1.55,5.13,140,SOLO STANDARD,3.09,140
800,3,2,standard,high,yes,yes,3.72,1.86,7.23,170,SOLO STANDARD,3.72,165
